Unnamed: 0,Country_name,x2011_AO,x2014_AO,x2017_AO,x2011_PCI,x2014_PCI,x2017_PCI,x2011_SUBS,x2014_SUBS,x2017_SUBS,2011,2014,2017,x2011_SUBS_norm,x2014_SUBS_norm,x2017_SUBS_norm
37,Finland,99.65125275,100.0,99.78541565,41709,41063,37754,8940000,7602600,7310000,5390.036,5461.41,5511.371999999999,165.8616009243723,139.2058094887584,132.63485026958804
38,France,96.98388672,96.58275604,94.00404358,37138,36186,32708,59816000,65425000,69018000,63222.22900000001,64193.55,64842.513,94.6122921417402,101.91833914778042,106.43942809557674
39,Gabon,18.94651794,33.01418304,58.60199738,5196,6226,4984,2370230,2932730,2663240,1684.629,1883.8010000000002,2064.812,140.69744733113345,155.68151837694106,128.9822027380701
40,Georgia,32.98096848,39.66506958,61.23044586,3406,4168,3666,4430340,5400770,5502400,4081.012,4035.31,4008.723,108.55983760890682,133.83779684832143,137.260668796522
41,Germany,98.13362122,98.76040649,99.14118958,39511,40301,37541,90900000,99530000,109736000,80855.629,81450.37,82658.409,112.42259954467735,122.19711218009199,132.75842267905253
42,Ghana,29.4253521,40.50579453,57.71752548,994,1288,1335,21165800,30360800,36751800,25387.713,27224.48,29121.464,83.37025079809275,111.52022003726059,126.20175963680947
43,Greece,77.93985748,87.51864624,85.46652222,20536,17990,15861,12128000,12144600,12937100,10829.073999999999,10701.46,10569.448999999999,111.99480214097717,113.48544964892642,122.40089336728907
44,Guatemala,22.3188839,41.34921646,44.10700989,2699,3113,3721,19479100,16911800,19986500,14948.792,15923.238000000001,16914.979,130.30551231163025,106.20829758369497,118.15858594917559
45,Guinea,3.687849998,6.960017204,23.48603439,484,585,639,4860590,8683500,11700000,10420.459,11150.97,12067.516000000001,46.644682350364796,77.87214923903481,96.95450165551883
46,Haiti,22.00726891,18.85867691,32.6211853,704,779,710,4200000,6769310,6305860,10100.32,10549.007,10982.367,41.582840939693,64.17011572748032,57.418041119915216
47,Honduras,20.51226425,31.48635864,45.3429718,1824,1865,2136,8062230,7725090,8233500,8480.67,8955.579,9429.016,95.0659558737694,86.26008435635485,87.32088268807688
48,Hungary,72.67432404,72.25682831,74.94496918,10872,11177,11504,11689900,11726500,9945040,9895.689,9804.991,9729.822,118.13123876467824,119.59725409232911,102.21194180119637
49,India,35.23183823,53.14155197,79.87532806,1256,1365,1731,893862000,944009000,1168900000,1250287.939,1295600.768,1338676.779,71.49249161876463,72.8626459103797,87.31756749177167
50,Indonesia,19.5819912,36.05899048,48.85745239,2682,2625,3008,249806000,325583000,435194000,245115.988,255128.076,264650.969,101.91338477684286,127.61551182630326,164.44073552589188
52,Iraq,10.55374527,10.97234917,22.6651516,4712,5254,4047,25519000,33000000,33415700,30725.305,34411.949,37552.789,83.05531873483436,95.89692231614083,88.98327098953955
53,Ireland,93.88835144,94.71014404,95.3404541,34795,38596,38452,4906350,4912620,4898870,4591.115,4626.852,4753.281,106.86619699136266,106.17629437898597,103.062915910084
54,Israel,90.46863556,89.95277405,92.81496429,28661,32443,34855,9200000,9500000,10540000,7487.095,7854.215999999999,8243.849,122.87809891553401,120.95414742859123,127.85289978018764
55,Italy,71.00852966,87.33457947,93.78501892,31632,29022,26892,96040900,89914600,83871500,59589.07,60409.622,60673.694,161.17200687978516,148.8415206438471,138.23371294979995
56,Japan,96.42204285,96.64558411,98.24339294,38101,30689,31208,132761000,157857000,172790000,128498.966,128168.63,127502.728,103.31678466580034,123.16352293068904,135.51866905937885
57,Jordan,25.47109795,24.61591148,42.49302292,3460,3725,3798,7482560,11092400,9703290,7662.858,8918.822,9785.84,97.64711808570641,124.37068482810847,99.156434194714
