Unnamed: 0,Country_name,x2011_AO,x2014_AO,x2017_AO,x2011_PCI,x2014_PCI,x2017_PCI,x2011_SUBS,x2014_SUBS,x2017_SUBS,2011,2014,2017,x2011_SUBS_norm,x2014_SUBS_norm,x2017_SUBS_norm
39,Gabon,18.94651794,33.01418304,58.60199738,5196,6226,4984,2370230,2932730,2663240,1684.629,1883.801,2064.812,1.406974473,1.556815184,1.289822027
40,Georgia,32.98096848,39.66506958,61.23044586,3406,4168,3666,4430340,5400770,5502400,4081.012,4035.31,4008.723,1.085598376,1.338377968,1.372606688
41,Germany,98.13362122,98.76040649,99.14118958,39511,40301,37541,90900000,99530000,109736000,80855.629,81450.37,82658.409,1.124225995,1.221971122,1.327584227
42,Ghana,29.4253521,40.50579453,57.71752548,994,1288,1335,21165800,30360800,36751800,25387.713,27224.48,29121.464,0.833702508,1.1152022,1.262017596
43,Greece,77.93985748,87.51864624,85.46652222,20536,17990,15861,12128000,12144600,12937100,10829.074,10701.46,10569.449,1.119948021,1.134854496,1.224008934
44,Guatemala,22.3188839,41.34921646,44.10700989,2699,3113,3721,19479100,16911800,19986500,14948.792,15923.238,16914.979,1.303055123,1.062082976,1.181585859
45,Guinea,3.687849998,6.960017204,23.48603439,484,585,639,4860590,8683500,11700000,10420.459,11150.97,12067.516,0.466446824,0.778721492,0.969545017
46,Haiti,22.00726891,18.85867691,32.6211853,704,779,710,4200000,6769310,6305860,10100.32,10549.007,10982.367,0.415828409,0.641701157,0.574180411
47,Honduras,20.51226425,31.48635864,45.3429718,1824,1865,2136,8062230,7725090,8233500,8480.67,8955.579,9429.016,0.950659559,0.862600844,0.873208827
48,Hungary,72.67432404,72.25682831,74.94496918,10872,11177,11504,11689900,11726500,9945040,9895.689,9804.991,9729.822,1.181312388,1.195972541,1.022119418
49,India,35.23183823,53.14155197,79.87532806,1256,1365,1731,893862000,944009000,1168900000,1250287.939,1295600.768,1338676.779,0.714924916,0.728626459,0.873175675
50,Indonesia,19.5819912,36.05899048,48.85745239,2682,2625,3008,249806000,325583000,435194000,245115.988,255128.076,264650.969,1.019133848,1.276155118,1.644407355
52,Iraq,10.55374527,10.97234917,22.6651516,4712,5254,4047,25519000,33000000,33415700,30725.305,34411.949,37552.789,0.830553187,0.958969223,0.88983271
53,Ireland,93.88835144,94.71014404,95.3404541,34795,38596,38452,4906350,4912620,4898870,4591.115,4626.852,4753.281,1.06866197,1.061762944,1.030629159
