Country name,2011,2014,2017
Afghanistan,30117.411,33370.804,36296.111
Africa,1066409.712,1152433.618,1244222.269
African Group,1064864.504,1150822.279,1242534.551
African Union,1065352.158,1151337.263,1243087.168
African Union: Central Africa,120650.427,132360.098,145049.236
African Union: Eastern Africa,308179.643,334617.162,362844.612
African Union: Northern Africa,175048.159,185411.826,196262.381
African Union: Southern Africa,149539.485,160548.717,172059.966
African Union: Western Africa,311934.444,338399.46,366870.973
"African, Caribbean and Pacific (ACP) Group of States",933091.503,1009959.906,1092466.466
Albania,2928.601,2896.307,2884.169
Algeria,36661.438,38923.688,41389.174
American Samoa,55.755,55.791,55.617
Andean Community,100383.897,103716.427,108332.352
Andorra,83.748,79.213,76.997
Angola,24220.66,26941.773,29816.769
Anguilla,13.612,14.114,14.588
Antigua and Barbuda,89.25,92.562,95.425
Argentina,41320.497,42637.508,43937.143
Armenia,2876.536,2912.403,2944.789
Aruba,102.05,103.776,105.361
Asia,4255189.624,4389699.496,4519040.016
Asia-Pacific Economic Cooperation (APEC),2802890.671,2863770.723,2921237.005
Asia-Pacific Group,4237163.054,4371233.608,4500107.911
Association of Southeast Asian Nations (ASEAN),603263.686,625790.908,647216.493
Australia,22538.002,23596.426,24584.619
Australia/New Zealand,26956.676,28163.948,29286.648
Austria,8453.501,8615.205,8819.902
Azerbaijan,9146.277,9505.616,9845.316
Bahamas,359.583,370.625,381.749
Bahrain,1278.153,1336.073,1494.077
Bangladesh,149273.134,154517.385,159685.421
Barbados,282.987,284.825,286.229
Belarus,9415.316,9431.742,9450.233
Belgium,11013.86,11221.225,11419.752
Belize,330.236,353.366,375.775
Belt-Road Initiative (BRI),2955395.86,3103527.863,3253866.729
Belt-Road Initiative: Africa,950706.618,1026918.433,1107974.28
Belt-Road Initiative: Asia,1383615.288,1448829.219,1512420.226
Belt-Road Initiative: Europe,416189.127,416221.417,415587.523
Belt-Road Initiative: Latin America and the Caribbean,191473.555,197494.225,203153.736
Belt-Road Initiative: Pacific,13411.272,14064.569,14730.964
Benin,9460.829,10286.839,11175.192
Bermuda,65.076,64.038,63.04
Bhutan,693.297,719.053,745.563
Black Sea Economic Cooperation (BSEC),333385.929,337309.992,341032.424
Bolivarian Alliance for the Americas (ALBA),56840.773,58809.637,58940.007
Bolivia (Plurinational State of),10212.951,10706.517,11192.853
"Bonaire, Sint Eustatius and Saba",21.998,24.067,25.399
Bosnia and Herzegovina,3661.173,3482.106,3351.534
Botswana,2015.406,2088.619,2205.076
Brazil,197514.541,202763.744,207833.825
BRIC,2968003.14,3042483.315,3113062.489
BRICS,3020006.899,3097027.499,3170072.24
British Virgin Islands,28.326,28.985,29.567
Brunei Darussalam,393.687,409.778,424.481
Bulgaria,7378.652,7245.648,7102.452
Burkina Faso,16081.915,17586.029,19193.236
Burundi,8958.406,9844.301,10827.01
C̫te d'Ivoire,21028.652,22647.672,24437.475
Cabo Verde,498.858,518.276,537.499
